#  Fresno, California Year-to-Date Precipitation 
# Units: Inches
# Missing: -99
Date,Value
196612,6.07
196701,2.2
196702,2.43
196703,5.57
196704,9.99
196705,10.18
196706,10.32
196707,10.32
196708,10.31
196709,10.31
196710,10.38
196711,11.93
196712,12.96
196801,1.05
196802,2.15
196803,3.64
196804,4.34
196805,4.59
196806,4.59
196807,4.58
196808,4.58
196809,4.58
196810,6.12
196811,8.06
196812,10.5
196901,8.56
196902,14.16
196903,15.32
196904,16.96
196905,17.02
196906,17.06
196907,17.1
196908,17.1
196909,17.14
196910,17.2
196911,18
196912,19.14
197001,3.83
197002,5.11
197003,6.76
197004,6.97
197005,6.97
197006,7.05
197007,7.05
197008,7.05
197009,7.05
197010,7.06
197011,9.35
197012,11.87
197101,0.4
197102,0.69
197103,1.27
197104,2.31
197105,3.7
197106,3.7
197107,3.7
197108,3.7
197109,3.74
197110,3.77
197111,4.42
197112,6.99
197201,0.37
197202,1.04
197203,1.04
197204,1.32
197205,1.46
197206,2.06
197207,2.06
197208,2.06
197209,2.35
197210,2.57
197211,6.08
197212,7.48
197301,1.91
197302,5.6
197303,8.45
197304,8.54
197305,8.54
197306,8.54
197307,8.54
197308,8.53
197309,8.53
197310,9.55
197311,10.95
197312,12.69
197401,2.82
197402,3.07
197403,5.64
197404,6.28
197405,6.28
197406,6.28
197407,6.27
197408,6.27
197409,6.27
197410,7.7
197411,8.05
197412,9.31
197501,0.69
197502,1.66
197503,4.09
197504,4.65
197505,4.64
197506,4.64
197507,4.64
197508,4.69
197509,4.91
197510,5.98
197511,6.18
197512,6.32
197601,0.04
197602,4.77
197603,5.2
197604,6.14
197605,6.13
197606,6.5
197607,6.52
197608,6.73
197609,7.92
197610,9.47
197611,10.35
197612,11.06
197701,0.69
197702,0.78
197703,1.82
197704,1.85
197705,3.02
197706,3.08
197707,3.07
197708,3.07
197709,3.07
197710,3.08
197711,3.54
197712,6.56
197801,3.16
197802,7.57
197803,11.82
197804,14.67
197805,14.67
197806,14.67
197807,14.66
197808,14.66
197809,15.71
197810,15.71
197811,17.06
197812,17.68
197901,2.72
197902,5.25
197903,7.52
197904,7.59
197905,7.65
197906,7.65
197907,7.73
197908,7.73
197909,7.73
197910,8.21
197911,9.23
197912,9.97
198001,3.83
198002,7.14
198003,9.19
198004,9.44
198005,9.62
198006,9.62
198007,9.63
198008,9.63
198009,9.63
198010,9.66
198011,9.8
198012,10.3
198101,2.67
198102,3.96
198103,6.55
198104,7.56
198105,7.56
198106,7.56
198107,7.56
198108,7.56
198109,7.56
198110,8.13
198111,9.35
198112,10.01
198201,2.11
198202,2.69
198203,7.45
198204,8.35
198205,8.35
198206,8.65
198207,8.65
198208,8.65
198209,9.75
198210,11.33
198211,14.5
198212,16.09
198301,5.14
198302,8.84
198303,13.37
198304,16.14
198305,16.15
198306,16.15
198307,16.15
198308,16.24
198309,17.27
198310,17.36
198311,19.87
198312,21.62
198401,0.15
198402,1.2
198403,1.68
198404,1.93
198405,1.95
198406,2.15
198407,2.15
198408,2.14
198409,2.14
198410,2.84
198411,4.79
198412,6.77
198501,0.43
198502,1.14
198503,2.87
198504,2.99
198505,2.99
198506,3.32
198507,3.36
198508,3.38
198509,3.82
198510,4.67
198511,7.69
198512,8.42
198601,2.13
198602,5.78
198603,9.2
198604,9.56
198605,9.72
198606,9.72
198607,9.72
198608,9.72
198609,10.1
198610,10.1
198611,10.11
198612,12.42
198701,1.93
198702,3.3
198703,5.68
198704,5.75
198705,6.62
198706,6.63
198707,6.63
198708,6.63
198709,6.63
198710,7.48
198711,8
198712,9.19
198801,1.53
198802,2.35
198803,2.63
198804,5.04
198805,5.49
198806,5.52
198807,5.52
198808,5.52
198809,5.52
198810,5.52
198811,6.95
198812,9.4
198901,0.48
198902,1.66
198903,3.91
198904,3.96
198905,4.85
198906,4.85
198907,4.85
198908,4.88
198909,5.99
198910,6.41
198911,6.91
198912,6.91
199001,2.82
199002,4.15
199003,4.81
199004,5.73
199005,7.38
199006,7.38
199007,7.38
199008,7.38
199009,7.53
199010,7.58
199011,8.04
199012,8.72
199101,0.13
199102,1.14
199103,8.37
199104,8.39
199105,8.43
199106,8.42
199107,8.42
199108,8.42
199109,8.41
199110,9.22
199111,9.26
199112,10.48
199201,1.94
199202,6.67
199203,8.81
199204,9
199205,8.99
199206,8.99
199207,9.21
199208,9.2
199209,9.2
199210,11.39
199211,11.39
199212,14.07
199301,5.18
199302,7.62
199303,9.38
199304,9.58
199305,9.83
199306,11.44
199307,11.44
199308,11.44
199309,11.44
199310,11.57
199311,12.73
199312,13.76
199401,1.15
199402,3.07
199403,3.59
199404,4.96
199405,6.26
199406,6.26
199407,6.25
199408,6.25
199409,6.45
199410,7.22
199411,8.8
199412,10.13
199501,5.43
199502,6.36
199503,12.25
199504,13.33
199505,14.52
199506,15.19
199507,15.2
199508,15.19
199509,15.19
199510,15.19
199511,15.19
199512,17.27
199601,2.08
199602,5.65
199603,7.18
199604,8.35
199605,8.72
199606,8.8
199607,8.8
199608,8.8
199609,8.8
199610,10.77
199611,12.72
199612,16.99
199701,3.53
199702,3.7
199703,3.81
199704,3.8
199705,3.8
199706,3.81
199707,3.81
199708,3.81
199709,3.96
199710,4.03
199711,6.69
199712,7.69
199801,3.41
199802,8.31
199803,11.75
199804,13.01
199805,14.38
199806,16.31
199807,16.31
199808,16.31
199809,16.46
199810,16.62
199811,17.05
199812,17.67
199901,2.82
199902,4
199903,4.49
199904,5.42
199905,5.45
199906,5.65
199907,5.65
199908,5.66
199909,5.66
199910,5.65
199911,6.13
199912,6.17
200001,3.15
200002,9.27
200003,10.61
200004,11.78
200005,11.83
200006,12.39
200007,12.39
200008,12.38
200009,12.7
200010,15.15
200011,15.16
200012,15.24
200101,2.67
200102,4.89
200103,5.85
200104,7.73
200105,7.73
200106,7.73
200107,7.81
200108,7.81
200109,7.81
200110,8.1
200111,10.09
200112,12.05
200201,0.76
200202,1.17
200203,2.11
200204,2.32
200205,2.7
200206,2.72
200207,2.72
200208,2.72
200209,2.72
200210,2.72
200211,4.5
200212,6.75
200301,0.4
200302,1.62
200303,2.25
200304,5.09
200305,5.77
200306,5.77
200307,5.77
200308,5.81
200309,5.8
200310,5.8
200311,6.2
200312,9.13
200401,0.88
200402,2.57
200403,4.11
200404,4.14
200405,4.21
200406,4.21
200407,4.21
200408,4.21
200409,4.21
200410,6.66
200411,7.48
200412,10.64
200501,2.42
200502,4.73
200503,7.24
200504,7.8
200505,9.41
200506,9.43
200507,9.43
200508,9.42
200509,9.46
200510,9.52
200511,9.69
200512,11.68
200601,3.4
200602,3.94
200603,8.69
200604,11.96
200605,12.32
200606,12.32
200607,12.32
200608,12.32
200609,12.32
200610,12.4
200611,12.63
200612,13.96
200701,0.59
200702,2.88
200703,3.85
200704,4.34
200705,4.39
200706,4.39
200707,4.39
200708,4.41
200709,4.43
200710,4.63
200711,4.72
200712,7.04
200801,3.32
200802,5.44
200803,5.46
200804,5.46
200805,5.76
200806,5.76
200807,5.78
200808,5.78
200809,5.78
200810,6
200811,7.38
200812,8.47
200901,1.02
200902,3.45
200903,3.69
200904,4.41
200905,4.87
200906,5.07
200907,5.07
200908,5.06
200909,5.07
200910,6.46
200911,6.67
200912,9.07
201001,2.06
201002,5
201003,5.97
201004,8.16
201005,8.37
201006,8.37
201007,8.37
201008,8.37
201009,8.37
201010,8.81
201011,10.61
201012,16.53
201101,1.71
201102,3.31
201103,6.78
201104,7.09
201105,7.44
201106,9.36
201107,9.35
201108,9.35
201109,9.35
201110,10.25
201111,10.92
201112,10.92
201201,1.38
201202,2.13
201203,4.57
201204,6.59
201205,6.59
201206,6.59
201207,6.58
201208,6.58
201209,6.58
201210,6.83
201211,7.95
201212,9.98
201301,0.58
201302,1.47
201303,2.12
201304,2.21
201305,2.28
201306,2.28
201307,2.28
201308,2.27
201309,2.28
201310,2.32
201311,2.85
201312,3
201401,0.57
201402,2.68
201403,3.3
201404,4.04
201405,4.08
201406,4.08
201407,4.09
201408,4.09
201409,4.27
201410,4.77
201411,5.17
201412,7.47
201501,0.21
201502,1.34
201503,1.41
201504,2.65
201505,3.22
201506,3.24
201507,3.67
201508,3.67
201509,3.79
201510,4.28
201511,6.02
201512,9
201601,4.43
201602,4.76
201603,7.69
201604,8.76
201605,9.05
201606,9.11
201607,9.11
201608,9.11
201609,9.11
201610,9.78
201611,11.15
201612,13.67
201701,5.5
201702,8.01
201703,9.09
201704,12.52
201705,12.63
201706,12.63
201707,12.63
201708,12.63
201709,12.79
201710,12.88
201711,13.16
201712,13.2
201801,1.23
201802,1.49
201803,5.68
201804,6.32
201805,6.31
201806,6.31
201807,6.31
201808,6.31
201809,6.31
201810,6.42
201811,8.09
201812,8.65
201901,2.23
201902,5.5
201903,6.76
201904,7.15
201905,9.54
201906,9.54
201907,9.53
201908,9.53
201909,9.53
201910,9.53
201911,10.25
201912,12.41
202001,0.66
202002,0.66
202003,2.98
202004,4.63
202005,4.76
202006,4.76
202007,4.76
202008,4.75
202009,4.75
202010,4.75
202011,5.03
202012,6.17
202101,3.4
202102,3.69
202103,5.02
202104,5.17
202105,5.17
202106,5.17
202107,5.17
202108,5.17
202109,5.17
202110,6.44
202111,6.74
202112,10.39
202201,-0
202202,0.04
202203,0.78
202204,1.08
202205,1.08
202206,1.07
202207,1.07
202208,1.12
202209,1.18
202210,1.18
202211,1.84
202212,6.43
202301,3.95
202302,8.21
202303,12.21
202304,12.21
202305,12.56
202306,12.56
202307,12.56
202308,12.75
202309,12.75
202310,12.74
202311,12.95
202312,13.63
202401,1.91
202402,5.28
202403,7.41
202404,8.77
202405,9.11
202406,9.1
202407,9.11
202408,9.11
202409,9.13
202410,9.13
202411,11.07
202412,12.09
202501,0.13
202502,1.74
202503,5.08
202504,5.45
